,Id,Class/Group,Subject,Absence
462,751804,Web19w1,Databases,100%
463,328555,SD19w1,Software Design Patterns,100%
464,723459,ITS18a,Security Engineering,100%
465,396493,ITS19w1,System Security,88.89%
466,635774,SD18i,Data Science,75%
467,646053,SD18i,Big Data,81.82%
468,879390,ITS19w1,System Security,88.89%
469,666991,Web and Soft Electives,Test,100%
470,397345,ITS19w1,System Security,55.56%
471,179935,ITS19w1,System Security,66.67%
472,263323,SD19w1,Big Data,100%
473,135632,ITS19w1,System Security,55.56%
474,858209,ITS18a,Security Engineering,57.58%
475,196056,ITS18a,Security Engineering,72.73%
476,666120,ITS19w1,System Security,66.67%
477,857723,SD18i,Data Science,57.14%
478,585127,ITS19w1,System Security,44.44%
479,280032,ITS18a,Security Engineering,60.61%
480,104328,ITS19w1,System Security,33.33%
481,530097,Web19w1,Databases,50%
482,699958,Web and Soft Electives,Test,71.43%
483,672098,SD18i,Data Science,37.5%
484,153731,Web19w1,Databases,0%
485,622342,ITS19w1,System Security,37.04%
486,153094,SD18i,Big Data,40.91%
487,889786,Web and Soft Electives,Test,57.14%
488,581509,Web and Soft Electives,Test,28.57%
489,546140,Web19w1,Databases,50%
490,614503,Web19w1,Databases,50%
491,443095,Web19w1,Databases,0%
492,703392,Web19w1,Databases,50%
493,207562,Web19w1,Databases,0%
494,272447,ITS18a,Security Engineering,57.58%
495,107766,SD19w1,Software Design Patterns,53.7%
496,540365,SD18i,Data Science,14.29%
497,579153,ITS18a,Security Engineering,57.58%
498,212186,SD19w1,Big Data,22.73%
499,301757,ITS18a,Security Engineering,42.42%
500,523463,SD19w1,Data Science,42.86%
501,799408,SD18i,Data Science,12.5%
502,587068,ITS19w1,System Security,0%
503,636158,Web19w1,Databases,0%
504,305265,Web19w1,Databases,0%
505,878517,Web19w1,Databases,0%
506,774783,Web19w1,Databases,0%
507,622904,Web19w1,Databases,0%
508,822944,SD18i,Data Science,57.14%
509,920332,Web19w1,Databases,0%
510,749091,ITS18a,Security Engineering,39.39%
511,994560,ITS18a,Security Engineering,57.58%
512,796984,SD18i,Data Science,37.5%
513,334312,SD19w1,Data Science,12.5%
514,147899,ITS19w1,System Security,44.44%
515,321954,ITS18a,Security Engineering,57.58%
516,463299,Web and Soft Electives,Test,42.86%
517,507209,Web and Soft Electives,Test,42.86%
518,679854,Web and Soft Electives,Test,57.14%
519,331160,SD18i,Quantum Computing,0%
520,828212,Web and Soft Electives,Test,57.14%
521,709072,SD19w1,Data Science,37.5%
522,298679,ITS18a,Security Engineering,30.3%
523,598019,SD18i,Quantum Computing,0%
524,637923,ITS19w1,System Security,11.11%
525,676326,ITS19w1,System Security,22.22%
526,866202,SD18i,Data Science,25%
527,128523,SD18i,Data Science,0%
528,678695,Web and Soft Electives,Test,42.86%
529,285846,Web19w1,Databases,0%
530,359839,Web19w1,Databases,50%
531,745405,Web and Soft Electives,Test,28.57%
532,115992,SD18i,Data Science,0%
533,547214,Web and Soft Electives,Test,28.57%
534,912277,Web and Soft Electives,Test,42.86%
535,666744,Web and Soft Electives,Test,42.86%
536,287874,ITS19w1,System Security,11.11%
537,920791,SD18i,Data Science,0%
538,173685,SD18i,Data Science,37.5%
539,212503,SD19w1,Web Security,16.67%
540,941580,ITS18a,Security Engineering,24.24%
541,647586,ITS18a,Security Engineering,15.15%
542,185214,Web19w1,Databases,0%
543,614430,Web19w1,Databases,0%
544,656669,Web19w1,Databases,0%
545,638449,Web19w1,Databases,0%
546,659770,Web19w1,Databases,0%
547,714980,SD19w1,Big Data,35.71%
548,873253,SD18i,Data Science,25%
549,658419,ITS18a,Security Engineering,15.15%
550,110311,Web and Soft Electives,Test,42.86%
551,364504,SD18i,Software Design Patterns,27.78%
552,140798,Web and Soft Electives,Test,28.57%
553,162461,Web and Soft Electives,Test,33.33%
554,255002,SD19w1,Big Data,18.18%
555,675805,SD19w1,Web Security,0%
556,648071,ITS18a,Security Engineering,15.15%
557,189551,SD19w1,Software Design Patterns,16.67%
558,861602,Web and Soft Electives,Test,28.57%
559,381976,Web and Soft Electives,Test,28.57%
560,448115,Web and Soft Electives,Test,28.57%
561,423691,Web and Soft Electives,Test,28.57%
562,435434,SD19w1,Data Science,12.5%
563,730523,SD19w1,Data Science,12.5%
564,493985,SD19w1,Data Science,37.5%
565,415804,SD19w1,Data Science,12.5%
566,714716,ITS19w1,System Security,0%
567,840169,Web and Soft Electives,Test,14.29%
568,467830,SD18i,Software Design Patterns,22.22%
569,220970,Web and Soft Electives,Test,28.57%
570,491124,Web and Soft Electives,Test,28.57%
571,446063,ITS18a,Security Engineering,12.12%
572,200123,SD19w1,Software Design Patterns,24.07%
573,783966,SD19w1,Data Science,12.5%
574,580861,SD19w1,Data Science,12.5%
575,642754,SD19w1,Data Science,0%
576,293145,SD19w1,Data Science,12.5%
577,809897,SD19w1,Data Science,0%
578,395073,SD18i,Software Design Patterns,9.26%
579,175927,ITS18a,Security Engineering,12.12%
580,329450,ITS19w1,System Security,22.22%
581,642964,Web and Soft Electives,Test,14.29%
582,707742,SD19w1,Software Design Patterns,18.52%
583,541278,Web and Soft Electives,Test,14.29%
584,690648,ITS19w1,System Security,0%
585,813996,SD19w1,Software Design Patterns,16.67%
586,351020,SD19w1,Web Security,0%
587,828049,SD19w1,Quantum Computing,20%
588,863970,SD18i,Data Science,0%
589,908589,SD18i,Data Science,0%
590,839114,Web19w1,Databases,0%
591,480068,SD19w1,Big Data,0%
592,130119,ITS18a,Security Engineering,0%
593,400259,Web and Soft Electives,Test,14.29%
594,769983,Web and Soft Electives,Test,14.29%
595,460452,SD18i,Data Science,0%
596,643901,SD19w1,Data Science,0%
597,296996,SD19w1,Data Science,0%
598,610938,SD19w1,Software Design Patterns,0%
599,295223,SD18i,Data Science,0%
600,330334,Web19w1,Databases,0%
601,664331,Web19w1,Databases,0%
602,710120,ITS18a,Security Engineering,0%
603,214327,ITS18a,Security Engineering,0%
604,239722,ITS18a,Security Engineering,0%
605,688021,ITS18a,Security Engineering,0%
606,876210,SD19w1,Quantum Computing,0%
607,491038,SD18i,Data Science,0%
608,700477,ITS18a,Security Engineering,0%
609,223338,ITS18a,Security Engineering,0%
610,293438,ITS19w1,System Security,0%
611,803561,Web19w1,Databases,0%
612,976720,Web19w1,Databases,0%
613,172012,Web19w1,Databases,0%
614,491703,Web19w1,Databases,0%
615,532264,Web19w1,Databases,0%
616,215571,ITS18a,Reverse Eng. Malware,100%
617,542155,ITS18a,Reverse Eng. Malware,100%
618,825970,ITS18a,Reverse Eng. Malware,100%
619,613200,ITS18a,Reverse Eng. Malware,100%
620,615329,ITS18a,Reverse Eng. Malware,68.75%
621,723459,ITS18a,Reverse Eng. Malware,50%
622,858209,ITS18a,Reverse Eng. Malware,81.25%
623,196056,ITS18a,Reverse Eng. Malware,50%
624,280032,ITS18a,Reverse Eng. Malware,31.25%
625,272447,ITS18a,Reverse Eng. Malware,18.75%
626,579153,ITS18a,Reverse Eng. Malware,31.25%
627,301757,ITS18a,Reverse Eng. Malware,31.25%
628,749091,ITS18a,Reverse Eng. Malware,18.75%
629,994560,ITS18a,Reverse Eng. Malware,18.75%
630,321954,ITS18a,Reverse Eng. Malware,0%
631,298679,ITS18a,Reverse Eng. Malware,18.75%
632,941580,ITS18a,Reverse Eng. Malware,37.5%
633,647586,ITS18a,Reverse Eng. Malware,18.75%
634,658419,ITS18a,Reverse Eng. Malware,31.25%
635,648071,ITS18a,Reverse Eng. Malware,18.75%
636,446063,ITS18a,Reverse Eng. Malware,0%
637,175927,ITS18a,Reverse Eng. Malware,0%
638,130119,ITS18a,Reverse Eng. Malware,0%
639,710120,ITS18a,Reverse Eng. Malware,0%
640,214327,ITS18a,Reverse Eng. Malware,0%
641,239722,ITS18a,Reverse Eng. Malware,0%
642,688021,ITS18a,Reverse Eng. Malware,0%
643,700477,ITS18a,Reverse Eng. Malware,0%
644,223338,ITS18a,Reverse Eng. Malware,0%
